bias,weight low,weight high
0.0,1.0,2.5
1.0,1.0,2.92
2.0,1.0,3.65
3.0,1.0,5.3
4.0,1.0,12.41
5.0,1.0,-16.5
6.0,1.0,-3.95
7.0,1.0,-1.88
8.0,1.0,-1.03
9.0,1.0,-0.57
10.0,1.0,-0.28
11.0,1.0,-0.08
12.0,1.0,0.07
13.0,1.0,0.18
14.0,1.0,0.26
15.0,1.0,0.34
16.0,1.0,0.39
17.0,1.0,0.44
18.0,1.0,0.48
19.0,1.0,0.52
20.0,1.0,0.55
21.0,1.0,0.58
22.0,1.0,0.6
23.0,1.0,0.62
24.0,1.0,0.64
25.0,1.0,0.66
26.0,1.0,0.68
27.0,1.0,0.69
28.0,1.0,0.7
29.0,1.0,0.72
0.0,1.01,2.5
0.1,1.01,2.53
0.2,1.01,2.57
0.30000000000000004,1.01,2.6
0.4,1.01,2.64
0.5,1.01,2.68
0.6000000000000001,1.01,2.72
0.7000000000000001,1.01,2.77
0.8,1.01,2.82
0.9,1.01,2.86
1.0,1.01,2.92
1.1,1.01,2.97
1.2000000000000002,1.01,3.03
1.3,1.02,3.09
1.4000000000000001,1.02,3.16
1.5,1.02,3.22
1.6,1.02,3.3
1.7000000000000002,1.02,3.38
1.8,1.02,3.46
1.9000000000000001,1.02,3.55
2.0,1.02,3.65
2.1,1.03,3.76
2.2,1.03,3.87
2.3000000000000003,1.03,4.0
2.4000000000000004,1.03,4.13
2.5,1.04,4.28
2.6,1.04,4.44
2.7,1.05,4.63
2.8000000000000003,1.05,4.83
2.9000000000000004,1.07,5.05
3.0,1.08,5.3
3.1,1.11,5.59
3.2,1.16,5.92
3.3000000000000003,1.32,6.29
0.0,1.01,2.5
0.1,1.01,2.53
0.2,1.01,2.57
0.30000000000000004,1.01,2.6
0.4,1.01,2.64
0.5,1.01,2.68
0.6000000000000001,1.01,2.72
0.7000000000000001,1.01,2.77
0.8,1.01,2.82
0.9,1.01,2.86
1.0,1.01,2.92
1.1,1.01,2.97
1.2000000000000002,1.01,3.03
1.3,1.02,3.09
1.4000000000000001,1.02,3.16
1.5,1.02,3.22
1.6,1.02,3.3
1.7000000000000002,1.02,3.38
1.8,1.02,3.46
1.9000000000000001,1.02,3.55
2.0,1.02,3.65
2.1,1.03,3.76
2.2,1.03,3.87
2.3000000000000003,1.03,4.0
2.4000000000000004,1.03,4.13
2.5,1.04,4.28
2.6,1.04,4.44
2.7,1.05,4.63
2.8000000000000003,1.05,4.83
2.9000000000000004,1.07,5.05
3.0,1.08,5.3
3.1,1.11,5.59
3.2,1.16,5.92
3.3000000000000003,1.32,6.29
3.4000000000000004,26.27,6.73
0.0,1.01,2.5
0.1,1.01,2.53
0.2,1.01,2.57
0.30000000000000004,1.01,2.6
0.4,1.01,2.64
0.5,1.01,2.68
0.6000000000000001,1.01,2.72
0.7000000000000001,1.01,2.77
0.8,1.01,2.82
0.9,1.01,2.86
1.0,1.01,2.92
1.1,1.01,2.97
1.2000000000000002,1.01,3.03
1.3,1.02,3.09
1.4000000000000001,1.02,3.16
1.5,1.02,3.22
1.6,1.02,3.3
1.7000000000000002,1.02,3.38
1.8,1.02,3.46
1.9000000000000001,1.02,3.55
2.0,1.02,3.65
2.1,1.03,3.76
2.2,1.03,3.87
2.3000000000000003,1.03,4.0
2.4000000000000004,1.03,4.13
2.5,1.04,4.28
2.6,1.04,4.44
2.7,1.05,4.63
2.8000000000000003,1.05,4.83
2.9000000000000004,1.07,5.05
3.0,1.08,5.3
3.1,1.11,5.59
3.2,1.16,5.92
3.3000000000000003,1.32,6.29
0.0,1.01,2.5
0.1,1.01,2.53
0.2,1.01,2.57
0.30000000000000004,1.01,2.6
0.4,1.01,2.64
0.5,1.01,2.68
0.6000000000000001,1.01,2.72
0.7000000000000001,1.01,2.77
0.8,1.01,2.82
0.9,1.01,2.86
1.0,1.01,2.92
1.1,1.01,2.97
1.2000000000000002,1.01,3.03
